2025-12-04 23:15:22.460 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 199317 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-04 23:15:33.650 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 199317 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-04 23:15:33.650 | WARNING  | __main__:process_document:329 - 문서 54109_1 1번째 생성 실패
2025-12-04 23:37:06.557 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-04 23:37:06.557 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-04 23:37:06.574 | INFO     | __main__:main:524 - 806개의 문서를 성공적으로 불러왔습니다
2025-12-04 23:37:06.575 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 806개의 문서
2025-12-04 23:47:05.914 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316776 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-04 23:47:12.251 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316776 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-04 23:47:23.676 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 3/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 316776 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-04 23:47:23.676 | WARNING  | __main__:process_document:329 - 문서 54112_1 1번째 생성 실패
2025-12-04 23:53:59.286 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-04 23:53:59.286 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-04 23:53:59.298 | INFO     | __main__:main:524 - 496개의 문서를 성공적으로 불러왔습니다
2025-12-04 23:53:59.298 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 496개의 문서
2025-12-05 00:10:47.989 | INFO     | __main__:load_configuration:87 - 설정 불러오기 성공: 1개의 사용자 분류, 5개의 질문 분류
2025-12-05 00:10:47.989 | INFO     | __main__:main:505 - 사용자 지정 설정 파일을 사용합니다: /home/jy/projects/RAG-eval-framework/streamlit/uploaded_files/datamorgana_config_template_medical.json
2025-12-05 00:10:47.997 | INFO     | __main__:main:524 - 196개의 문서를 성공적으로 불러왔습니다
2025-12-05 00:10:47.997 | INFO     | __main__:generate_benchmark:356 - 벤치마크 데이터셋 생성을 시작합니다, 총 196개의 문서
2025-12-05 00:11:56.617 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 1/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313387 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
2025-12-05 00:12:43.085 | ERROR    | __main__:get_model_response:234 - API 호출 실패 (시도 2/3): Error code: 400 - {'error': {'message': "This model's maximum context length is 128000 tokens. However, your messages resulted in 1313387 tokens. Please reduce the length of the messages.", 'type': 'invalid_request_error', 'param': 'messages', 'code': 'context_length_exceeded'}}
